tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_current_retry_count,nodes_max_retry_count,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_avg_busy_ratio,nodes_avg_collision_ratio,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
100000,2026-01-16T15:25:46.849641,7168,1212,5440,1727,2743,0.3789390333159562,0.00094001,0.26390515994299657,12.12,42.28,54.4,16.13,55.55,71.68,4.0,13.27,17.27,0.3789390333159562,940.01,9.4001e-06,27.43,0.0,0.0,0.26390515994299657,1212,4228,5440,1727,94001,1.88,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9839,0.9237871015963757,0,4,90,0,0,0,3,0,3,0,0,28.77,134,38
110000,2026-01-16T15:25:49.712197,7872,1330,5972,1899,3016,0.3799415394386079,0.00103446,0.26460949640046816,13.3,46.42,59.72,17.71,61.01,78.72,4.41,14.58,18.99,0.3799415394386079,1034.46,1.0344600000000001e-05,30.16,0.0,0.0,0.26460949640046816,1330,4642,5972,1899,103446,1.48,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9825,0.9242296128753916,1,6,86,0,1,0,2,0,4,0,0,48.58,122,50
120000,2026-01-16T15:25:52.164191,8572,1453,6511,2060,3268,0.37595934809880704,0.00112873,0.26293033207617567,14.53,50.58,65.11,19.33,66.39,85.72,4.79,15.81,20.6,0.37595934809880704,1128.73,1.1287300000000001e-05,32.68,0.0,0.0,0.26293033207617567,1453,5058,6511,2060,112873,1.63,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9848,0.9246125444545692,1,2,90,0,0,0,3,0,4,0,0,80.78,171,64
130000,2026-01-16T15:25:55.950042,9325,1571,7077,2247,3577,0.37722764678733944,0.00122184,0.26372275511794496,15.71,55.06,70.77,20.99,72.26,93.25,5.27,17.2,22.47,0.37722764678733944,1221.84,1.2218400000000001e-05,35.77,0.0,0.0,0.26372275511794496,1571,5506,7077,2247,122184,1.59,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9838,0.9245888521257909,0,5,86,0,1,0,5,0,3,0,0,34.51,111,35
140000,2026-01-16T15:25:58.807789,10056,1694,7626,2429,3869,0.3760679524607923,0.00131623,0.26348949213700956,16.94,59.32,76.26,22.62,77.94,100.56,5.67,18.62,24.29,0.3760679524607923,1316.23,1.3162300000000001e-05,38.69,0.0,0.0,0.26348949213700956,1694,5932,7626,2429,131623,1.63,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9826999999999999,0.9242782383822167,0,5,89,0,0,0,3,0,3,0,0,27.87,115,54
150000,2026-01-16T15:26:01.690120,10792,1816,8174,2617,4167,0.37900103201476104,0.00141019,0.2651942496622393,18.16,63.58,81.74,24.25,83.67,107.92,6.08,20.09,26.17,0.37900103201476104,1410.19,1.41019e-05,41.67,0.0,0.0,0.2651942496622393,1816,6358,8174,2617,141019,1.66,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9834999999999999,0.9261001429547688,0,8,83,0,1,0,3,0,5,0,0,71.49,119,87
160000,2026-01-16T15:26:04.669431,11486,1933,8689,2796,4447,0.3813440285277526,0.00150462,0.2665508113815849,19.33,67.56,86.89,25.82,89.04,114.86,6.48,21.48,27.96,0.3813440285277526,1504.62,1.5046199999999998e-05,44.47,0.0,0.0,0.2665508113815849,1933,6756,8689,2796,150462,1.98,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9843,0.9265151189312479,0,12,80,0,2,0,3,0,3,0,0,50.39,120,74
170000,2026-01-16T15:26:07.090987,12175,2053,9212,2962,4711,0.38096512954108347,0.00159913,0.26630525904789226,20.53,71.59,92.12,27.35,94.4,121.75,6.81,22.81,29.62,0.38096512954108347,1599.13,1.59913e-05,47.11,0.0,0.0,0.26630525904789226,2053,7159,9212,2962,159913,1.53,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9823999999999999,0.9288676136363637,0,5,90,0,0,0,2,0,3,0,0,58.06,151,60
180000,2026-01-16T15:26:09.451582,12866,2174,9735,3130,4970,0.38084549129157247,0.00169334,0.266194676617173,21.74,75.61,97.35,28.92,99.74,128.66,7.17,24.13,31.3,0.38084549129157247,1693.34,1.69334e-05,49.7,0.0,0.0,0.266194676617173,2174,7561,9735,3130,169334,1.77,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.983,0.9311203898050974,0,11,84,0,0,0,1,0,4,0,0,36.58,133,50
190000,2026-01-16T15:26:11.784941,13598,2297,10285,3312,5260,0.3826604634101985,0.00178774,0.2669482715785843,22.97,79.88,102.85,30.49,105.49,135.98,7.52,25.6,33.12,0.3826604634101985,1787.74,1.78774e-05,52.6,0.0,0.0,0.2669482715785843,2297,7988,10285,3312,178774,1.63,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.982,0.9313385057471264,1,8,81,0,3,0,4,0,3,0,0,65.14,177,62
