tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_current_retry_count,nodes_max_retry_count,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_avg_busy_ratio,nodes_avg_collision_ratio,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav,cluster_0_send_probability,cluster_0_n_nodes,cluster_0_avg_packet_sent,cluster_0_avg_packet_loss,cluster_0_avg_packet_loss_pct,cluster_0_total_throughput,cluster_0_avg_throughput_per_node,cluster_0_avg_timeout_retry,cluster_0_avg_cw_enters,cluster_0_avg_cw_increase,cluster_0_cw_increase_ratio,cluster_0_avg_epsilon,cluster_0_avg_retry_count,cluster_0_avg_busy_ratio,cluster_0_avg_collision_ratio,cluster_1_send_probability,cluster_1_n_nodes,cluster_1_avg_packet_sent,cluster_1_avg_packet_loss,cluster_1_avg_packet_loss_pct,cluster_1_total_throughput,cluster_1_avg_throughput_per_node,cluster_1_avg_timeout_retry,cluster_1_avg_cw_enters,cluster_1_avg_cw_increase,cluster_1_cw_increase_ratio,cluster_1_avg_epsilon,cluster_1_avg_retry_count,cluster_1_avg_busy_ratio,cluster_1_avg_collision_ratio,cluster_2_send_probability,cluster_2_n_nodes,cluster_2_avg_packet_sent,cluster_2_avg_packet_loss,cluster_2_avg_packet_loss_pct,cluster_2_total_throughput,cluster_2_avg_throughput_per_node,cluster_2_avg_timeout_retry,cluster_2_avg_cw_enters,cluster_2_avg_cw_increase,cluster_2_cw_increase_ratio,cluster_2_avg_epsilon,cluster_2_avg_retry_count,cluster_2_avg_busy_ratio,cluster_2_avg_collision_ratio,cluster_throughput_variance,cluster_throughput_max_min_ratio,jain_fairness_index
100000,2026-01-18T14:29:03.345797,5222,1173,4603,618,867,0.14287471431200888,0.00086645,0.12165106889474712,11.73,34.3,46.03,12.33,39.89,52.22,0.59,5.59,6.18,0.14287471431200888,866.45,8.6645e-06,8.67,0.0,0.0,0.12165106889474712,1173,3430,4603,618,86645,1.6,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9952,0.9102014100965085,0,5,90,0,1,0,3,0,1,0,0,70.7,94,99,N/A,34,51.794117647058826,6.882352941176471,0.14503508350424346,35988,1058.4705882352941,10.147058823529411,0.0,0.0,0,0.00999837585282919,2.0294117647058822,0.9947058823529412,0.8924111353583664,N/A,33,39.81818181818182,5.424242424242424,0.13892089759626944,20229,613.0,6.0606060606060606,0.0,0.0,0,0.00999837585282919,1.1818181818181819,0.9963636363636365,0.9294140541685514,N/A,33,46.303030303030305,6.212121212121212,0.14460269610241566,30428,922.060606060606,9.757575757575758,0.0,0.0,0,0.00999837585282919,1.5757575757575757,0.9945454545454545,0.9093181399970965,42586586.88888889,1.7790301052943793,0.95142605543308
110000,2026-01-18T14:29:06.144161,5722,1287,5039,683,958,0.14508650827312972,0.00095422,0.12405634721742935,12.87,37.52,50.39,13.49,43.73,57.22,0.62,6.21,6.83,0.14508650827312972,954.22,9.5422e-06,9.58,0.0,0.0,0.12405634721742935,1287,3752,5039,683,95422,1.7,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9940000000000001,0.9094334865425491,1,2,94,1,1,0,1,0,0,0,0,94.13,181,97,N/A,34,56.88235294117647,7.529411764705882,0.14734352376516843,39857,1172.264705882353,11.058823529411764,0.0,0.0,0,0.00999837585282919,1.6470588235294117,0.9917647058823529,0.8913417859812547,N/A,33,42.90909090909091,5.9393939393939394,0.1413029414866241,21644,655.8787878787879,6.606060606060606,0.0,0.0,0,0.00999837585282919,2.0,0.9972727272727272,0.9287267442582386,N/A,33,51.18181818181818,7.0,0.14654466515874695,33921,1027.909090909091,11.030303030303031,0.0,0.0,0,0.00999837585282919,1.4545454545454546,0.9930303030303032,0.9087801627384962,57519354.88888889,1.8414803178710035,0.9462046703113012
120000,2026-01-18T14:29:08.848084,6231,1401,5487,743,1041,0.14474039068195263,0.00104103,0.12389533022542495,14.01,40.86,54.87,14.72,47.59,62.31,0.7,6.73,7.43,0.14474039068195263,1041.03,1.0410300000000001e-05,10.41,0.0,0.0,0.12389533022542495,1401,4086,5487,743,104103,1.69,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9959,0.9090014868180988,0,16,81,0,0,0,1,0,2,0,0,85.87,116,99,N/A,34,61.411764705882355,8.147058823529411,0.14701343721926494,43040,1265.8823529411766,12.058823529411764,0.0,0.0,0,0.00999837585282919,1.3235294117647058,0.9938235294117647,0.8914337909076674,N/A,33,46.57575757575758,6.454545454545454,0.1411025395472036,23387,708.6969696969697,7.03030303030303,0.0,0.0,0,0.00999837585282919,2.0,0.9984848484848485,0.9313542944368189,N/A,33,56.42424242424242,7.666666666666667,0.14603631508128898,37676,1141.6969696969697,12.090909090909092,0.0,0.0,0,0.00999837585282919,1.7575757575757576,0.9954545454545455,0.9047487295313382,68798714.0,1.840338649677171,0.9459536702823879
130000,2026-01-18T14:29:11.376907,6734,1514,5927,806,1128,0.145108401693165,0.00113001,0.1244095911148059,15.14,44.13,59.27,15.91,51.43,67.34,0.76,7.3,8.06,0.145108401693165,1130.01,1.13001e-05,11.28,0.0,0.0,0.1244095911148059,1514,4413,5927,806,113001,1.62,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9923000000000001,0.9084164983682189,0,10,87,0,0,0,1,0,2,0,0,117.95,167,96,N/A,34,66.47058823529412,8.941176470588236,0.14796734869655218,46674,1372.764705882353,13.176470588235293,0.0,0.0,0,0.00999837585282919,1.7058823529411764,0.9879411764705881,0.8922322353598974,N/A,33,50.15151515151515,6.909090909090909,0.14063184414581878,25348,768.1212121212121,7.424242424242424,0.0,0.0,0,0.00999837585282919,1.5454545454545454,0.9939393939393939,0.929112387561828,N/A,33,60.96969696969697,8.303030303030303,0.1466393774794456,40979,1241.7878787878788,13.181818181818182,0.0,0.0,0,0.00999837585282919,1.606060606060606,0.9951515151515152,0.9043953043953044,81284384.66666667,1.841328704434275,0.9458135629215871
140000,2026-01-18T14:29:14.048016,7247,1629,6379,867,1214,0.14438995959827242,0.00121696,0.12400970472102474,16.29,47.5,63.79,17.11,55.36,72.47,0.82,7.85,8.67,0.14438995959827242,1216.96,1.21696e-05,12.14,0.0,0.0,0.12400970472102474,1629,4750,6379,867,121696,1.7,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9904,0.9086545233455843,0,6,90,0,1,0,1,0,2,0,0,92.67,122,99,N/A,34,71.3529411764706,9.735294117647058,0.1493633011077442,50490,1485.0,14.264705882352942,0.0,0.0,0,0.00999837585282919,1.7058823529411764,0.9894117647058823,0.8968351182668608,N/A,33,53.90909090909091,7.393939393939394,0.13988266603635077,27146,822.6060606060606,8.030303030303031,0.0,0.0,0,0.00999837585282919,1.878787878787879,0.9930303030303032,0.9272985670660089,N/A,33,65.87878787878788,8.848484848484848,0.14377320433225346,44060,1335.1515151515152,14.06060606060606,0.0,0.0,0,0.00999837585282919,1.5151515151515151,0.9887878787878789,0.9021880484941475,96930070.22222222,1.8599425329698667,0.9443722315928877
150000,2026-01-18T14:29:16.586237,7777,1748,6846,930,1306,0.1438066949466169,0.00130314,0.1237301943383602,17.48,50.98,68.46,18.35,59.42,77.77,0.86,8.44,9.3,0.1438066949466169,1303.14,1.3031399999999999e-05,13.06,0.0,0.0,0.1237301943383602,1748,5098,6846,930,130314,1.73,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9951000000000001,0.9086160408225668,0,12,85,0,0,0,2,0,1,0,0,75.76,125,62,N/A,34,76.67647058823529,10.323529411764707,0.1467691579489259,53945,1586.6176470588234,15.294117647058824,0.0,0.0,0,0.00999837585282919,1.5,0.9952941176470589,0.8955974391597412,N/A,33,57.72727272727273,7.9393939393939394,0.1402114823004625,29193,884.6363636363636,8.636363636363637,0.0,0.0,0,0.00999837585282919,1.7878787878787878,0.9963636363636365,0.9273120533397213,N/A,33,70.72727272727273,9.606060606060606,0.14434967298433177,47176,1429.5757575757575,15.181818181818182,0.0,0.0,0,0.00999837585282919,1.9090909090909092,0.9936363636363637,0.9033331330489295,109096572.66666667,1.8478744904600417,0.9453412049703657
160000,2026-01-18T14:29:19.184877,8297,1863,7302,994,1398,0.14422880116706874,0.00139032,0.12397720244550349,18.63,54.39,73.02,19.58,63.39,82.97,0.94,9.0,9.94,0.14422880116706874,1390.32,1.39032e-05,13.98,0.0,0.0,0.12397720244550349,1863,5439,7302,994,139032,1.61,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9940000000000001,0.9058623046303232,0,11,86,0,0,0,1,0,2,0,0,103.24,145,84,N/A,34,81.91176470588235,10.941176470588236,0.14716500122074672,57507,1691.3823529411766,16.323529411764707,0.0,0.0,0,0.00999837585282919,1.8823529411764706,0.9944117647058824,0.897627740751473,N/A,33,61.75757575757576,8.393939393939394,0.13893377020962203,31523,955.2424242424242,9.151515151515152,0.0,0.0,0,0.00999837585282919,1.8484848484848484,0.9972727272727272,0.9225764825286356,N/A,33,75.12121212121212,10.454545454545455,0.14649865631163506,50002,1515.2121212121212,16.393939393939394,0.0,0.0,0,0.00999837585282919,1.0909090909090908,0.9903030303030302,0.8976322228496141,119218524.66666667,1.8242870285188593,0.9474109744907572
170000,2026-01-18T14:29:21.795935,8801,1978,7749,1051,1476,0.1438793591522978,0.00147539,0.12390697268490701,19.78,57.71,77.49,20.8,67.21,88.01,1.01,9.5,10.51,0.1438793591522978,1475.39,1.4753900000000001e-05,14.76,0.0,0.0,0.12390697268490701,1978,5771,7749,1051,147539,1.49,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9961,0.9076484837189338,0,13,84,0,0,0,1,0,2,0,0,78.24,90,96,N/A,34,86.91176470588235,11.411764705882353,0.1452908476248838,60693,1785.0882352941176,17.058823529411764,0.0,0.0,0,0.00999837585282919,1.3529411764705883,0.9938235294117647,0.9012244897959184,N/A,33,65.3030303030303,8.818181818181818,0.1385493003438801,33538,1016.3030303030303,9.515151515151516,0.0,0.0,0,0.00999837585282919,1.6666666666666667,0.9972727272727272,0.9233823079277624,N/A,33,79.96969696969697,11.272727272727273,0.14775515711017234,53308,1615.3939393939395,17.636363636363637,0.0,0.0,0,0.00999837585282919,1.4545454545454546,0.9972727272727272,0.8985333199156362,131420572.22222222,1.8096785735583518,0.948463737067498
180000,2026-01-18T14:29:24.276322,9331,2099,8223,1107,1553,0.14257053061864905,0.00156294,0.12293468739111463,20.99,61.24,82.23,22.07,71.24,93.31,1.07,10.0,11.07,0.14257053061864905,1562.94,1.56294e-05,15.53,0.0,0.0,0.12293468739111463,2099,6124,8223,1107,156294,1.69,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9947,0.9064892937471885,0,5,91,0,0,0,2,0,2,0,0,80.82,97,98,N/A,34,92.05882352941177,12.058823529411764,0.14466979472378488,64003,1882.4411764705883,18.029411764705884,0.0,0.0,0,0.00999837585282919,1.6764705882352942,0.9944117647058824,0.9001444788441693,N/A,33,69.27272727272727,9.242424242424242,0.13619623479097417,35265,1068.6363636363637,9.848484848484848,0.0,0.0,0,0.00999837585282919,1.7878787878787878,0.9945454545454545,0.9230976430976431,N/A,33,85.06060606060606,11.878787878787879,0.1467819482773961,57026,1728.060606060606,18.636363636363637,0.0,0.0,0,0.00999837585282919,1.606060606060606,0.9951515151515152,0.8964180264180265,149788032.66666666,1.81491563873529,0.9476995200160705
190000,2026-01-18T14:29:26.845895,9851,2218,8677,1173,1640,0.14389582961914665,0.00165239,0.12394385007811777,22.18,64.59,86.77,23.32,75.19,98.51,1.13,10.6,11.73,0.14389582961914665,1652.39,1.65239e-05,16.4,0.0,0.0,0.12394385007811777,2218,6459,8677,1173,165239,1.72,4,0.00999837585282919,0.00999837585282919,0.00999837585282919,0.9972,0.9059719818195171,0,11,86,0,0,0,1,0,2,0,0,71.39,121,59,N/A,34,97.26470588235294,12.647058823529411,0.1442773278283893,67715,1991.6176470588234,18.88235294117647,0.0,0.0,0,0.00999837585282919,2.0,0.9955882352941177,0.89874156219865,N/A,33,72.87878787878788,9.93939393939394,0.1391385404779105,37104,1124.3636363636363,10.636363636363637,0.0,0.0,0,0.00999837585282919,1.7878787878787878,1.0,0.9241311069882499,N/A,33,89.84848484848484,12.575757575757576,0.14826005999934494,60420,1830.909090909091,19.606060606060606,0.0,0.0,0,0.00999837585282919,1.3636363636363635,0.996060606060606,0.8952623798965262,170431800.22222224,1.82500539025442,0.9468098990440226
