tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav,cluster_0_send_probability,cluster_0_n_nodes,cluster_0_avg_packet_sent,cluster_0_avg_packet_loss,cluster_0_avg_packet_loss_pct,cluster_0_total_throughput,cluster_0_avg_throughput_per_node,cluster_0_avg_timeout_retry,cluster_0_avg_cw_enters,cluster_0_avg_cw_increase,cluster_0_cw_increase_ratio,cluster_1_send_probability,cluster_1_n_nodes,cluster_1_avg_packet_sent,cluster_1_avg_packet_loss,cluster_1_avg_packet_loss_pct,cluster_1_total_throughput,cluster_1_avg_throughput_per_node,cluster_1_avg_timeout_retry,cluster_1_avg_cw_enters,cluster_1_avg_cw_increase,cluster_1_cw_increase_ratio,cluster_2_send_probability,cluster_2_n_nodes,cluster_2_avg_packet_sent,cluster_2_avg_packet_loss,cluster_2_avg_packet_loss_pct,cluster_2_total_throughput,cluster_2_avg_throughput_per_node,cluster_2_avg_timeout_retry,cluster_2_avg_cw_enters,cluster_2_avg_cw_increase,cluster_2_cw_increase_ratio,cluster_throughput_variance,cluster_throughput_max_min_ratio,jain_fairness_index
100000,2026-01-18T12:56:11.163832,5308,1076,4533,722,1208,0.16138782513673686,0.00083011,0.1350207411422537,10.76,34.57,45.33,11.98,41.1,53.08,1.21,6.01,7.22,0.16138782513673686,830.11,8.301100000000001e-06,12.08,42.72,0.0,0.1350207411422537,1076,3457,4533,722,83011,0,2,89,0,1,0,3,0,3,2,0,97.67,129,94,N/A,34,48.76470588235294,7.852941176470588,0.16464132170575577,31717,932.8529411764706,13.882352941176471,46.88235294117647,0.0,0.0,N/A,33,41.0,7.818181818181818,0.18902628688696357,20317,615.6666666666666,10.181818181818182,38.42424242424242,0.0,0.0,N/A,33,46.121212121212125,5.96969696969697,0.13039727601236947,30977,938.6969696969697,12.121212121212121,42.72727272727273,0.0,0.0,27127022.22222222,1.5611064625682927,0.9657821654143032
110000,2026-01-18T12:56:11.543423,5855,1186,4999,798,1338,0.16056184080762237,0.0009142,0.1349162096273315,11.86,38.13,49.99,13.21,45.34,58.55,1.34,6.64,7.98,0.16056184080762237,914.2,9.142e-06,13.38,47.12,0.0,0.1349162096273315,1186,3813,4999,798,91420,0,3,90,0,0,0,2,0,2,3,0,115.96,142,96,N/A,34,53.55882352941177,8.647058823529411,0.1646578128253137,34913,1026.8529411764705,15.205882352941176,51.470588235294116,0.0,0.0,N/A,33,45.484848484848484,8.666666666666666,0.1868510357923067,22597,684.7575757575758,11.424242424242424,42.60606060606061,0.0,0.0,N/A,33,50.81818181818182,6.606060606060606,0.13005255344107422,33910,1027.5757575757575,13.454545454545455,47.15151515151515,0.0,0.0,31185981.555555556,1.545028101075364,0.9675081727521405
120000,2026-01-18T12:56:11.919664,6380,1296,5452,867,1447,0.15950879921877578,0.00099822,0.13439577905799976,12.96,41.56,54.52,14.4,49.4,63.8,1.43,7.24,8.67,0.15950879921877578,998.22,9.982199999999999e-06,14.47,51.14,0.0,0.13439577905799976,1296,4156,5452,867,99822,0,0,92,0,1,0,2,0,2,3,0,117.37,139,96,N/A,34,59.05882352941177,9.470588235294118,0.16191348105791561,38707,1138.4411764705883,16.38235294117647,55.970588235294116,0.0,0.0,N/A,33,48.84848484848485,9.181818181818182,0.1844622964489176,24378,738.7272727272727,12.212121212121213,45.60606060606061,0.0,0.0,N/A,33,55.515151515151516,7.333333333333333,0.1320777510028536,36737,1113.2424242424242,14.757575757575758,51.696969696969695,0.0,0.0,40216224.666666664,1.5877840676019361,0.9649493721511178
130000,2026-01-18T12:56:12.295976,6940,1413,5932,940,1568,0.1583940427318141,0.00108293,0.1337161317250206,14.13,45.19,59.32,15.64,53.76,69.4,1.5,7.9,9.4,0.1583940427318141,1082.93,1.08293e-05,15.68,55.48,0.0,0.1337161317250206,1413,4519,5932,940,108293,0,2,92,0,1,0,2,0,2,1,0,126.38,171,96,N/A,34,64.20588235294117,10.323529411764707,0.16262419765457187,41975,1234.5588235294117,17.735294117647058,60.76470588235294,0.0,0.0,N/A,33,53.515151515151516,9.909090909090908,0.18147180404418745,26597,805.969696969697,13.242424242424242,49.63636363636363,0.0,0.0,N/A,33,60.09090909090909,7.9393939393939394,0.13095793998387212,39721,1203.6666666666667,16.0,55.878787878787875,0.0,0.0,45978086.22222222,1.5781855096439448,0.965917407448967
140000,2026-01-18T12:56:12.669698,7461,1521,6381,1008,1679,0.1575783960645651,0.00116423,0.13350845436342562,15.21,48.6,63.81,16.83,57.78,74.61,1.61,8.47,10.08,0.1575783960645651,1164.23,1.16423e-05,16.79,59.48,0.0,0.13350845436342562,1521,4860,6381,1008,116423,0,1,93,0,1,0,2,0,2,1,0,103.46,151,95,N/A,34,69.5,10.941176470588236,0.15787583887812429,45251,1330.9117647058824,18.852941176470587,65.1470588235294,0.0,0.0,N/A,33,57.24242424242424,10.606060606060606,0.1815666870880813,28726,870.4848484848485,14.272727272727273,53.15151515151515,0.0,0.0,N/A,33,64.51515151515152,8.666666666666666,0.1332836488088971,42446,1286.2424242424242,17.181818181818183,59.96969696969697,0.0,0.0,52131338.888888896,1.5752628280999792,0.9665431489233681
150000,2026-01-18T12:56:13.047800,8002,1630,6843,1086,1812,0.1592592992560907,0.00124793,0.13468531941317383,16.3,52.13,68.43,18.02,62.0,80.02,1.72,9.14,10.86,0.1592592992560907,1247.93,1.24793e-05,18.12,63.82,0.0,0.13468531941317383,1630,5213,6843,1086,124793,1,4,88,0,0,0,0,0,1,6,0,15.74,41,87,N/A,34,74.1470588235294,12.029411764705882,0.16523370343949143,48220,1418.235294117647,20.5,70.08823529411765,0.0,0.0,N/A,33,61.21212121212121,11.151515151515152,0.17876989248068054,30802,933.3939393939394,15.424242424242424,56.93939393939394,0.0,0.0,N/A,33,69.75757575757575,9.363636363636363,0.13359325929708799,45771,1387.0,18.363636363636363,64.24242424242425,0.0,0.0,59272809.55555556,1.5654827608596844,0.9668800131765393
160000,2026-01-18T12:56:13.422581,8538,1738,7292,1164,1940,0.15988252216463741,0.00133234,0.1353331687308672,17.38,55.54,72.92,19.23,66.15,85.38,1.84,9.8,11.64,0.15988252216463741,1332.34,1.33234e-05,19.4,68.17,0.0,0.1353331687308672,1738,5554,7292,1164,133234,0,2,93,0,0,0,2,0,2,1,0,52.44,92,57,N/A,34,79.5,12.764705882352942,0.16232583909498594,51805,1523.6764705882354,21.823529411764707,74.79411764705883,0.0,0.0,N/A,33,64.57575757575758,12.0,0.18219256528074945,32526,985.6363636363636,16.606060606060606,60.75757575757576,0.0,0.0,N/A,33,74.48484848484848,10.121212121212121,0.13505512221119656,48903,1481.909090909091,19.696969696969695,68.75757575757575,0.0,0.0,72034174.88888888,1.5927258193445244,0.9647651388637074
170000,2026-01-18T12:56:13.796295,9081,1845,7756,1235,2069,0.1596843299921432,0.00141425,0.13535349447079675,18.45,59.11,77.56,20.44,70.37,90.81,1.99,10.36,12.35,0.1596843299921432,1414.25,1.4142499999999999e-05,20.69,72.54,0.0,0.13535349447079675,1845,5911,7756,1235,141425,0,1,91,0,1,0,1,1,2,3,0,60.55,123,56,N/A,34,85.0,13.470588235294118,0.16024197621548095,55095,1620.4411764705883,23.264705882352942,79.91176470588235,0.0,0.0,N/A,33,68.78787878787878,12.636363636363637,0.1806583162945248,34771,1053.6666666666667,17.818181818181817,64.81818181818181,0.0,0.0,N/A,33,78.66666666666667,10.909090909090908,0.1381357990960196,51559,1562.3939393939395,20.90909090909091,72.66666666666667,0.0,0.0,78600579.55555557,1.5845100802392798,0.965839756250473
180000,2026-01-18T12:56:14.188560,9625,1959,8224,1302,2179,0.158655344318918,0.00149743,0.13466063631146968,19.59,62.65,82.24,21.71,74.54,96.25,2.12,10.9,13.02,0.158655344318918,1497.43,1.4974299999999998e-05,21.79,76.61,0.0,0.13466063631146968,1959,6265,8224,1302,149743,0,1,94,0,1,0,2,0,0,2,0,83.56,177,94,N/A,34,89.91176470588235,14.205882352941176,0.1597508117225306,58416,1718.1176470588234,24.41176470588235,84.0,0.0,0.0,N/A,33,72.96969696969697,13.303030303030303,0.17960066206083586,36974,1120.4242424242425,18.939393939393938,68.72727272727273,0.0,0.0,N/A,33,83.60606060606061,11.515151515151516,0.1365813631914599,54353,1647.060606060606,21.939393939393938,76.87878787878788,0.0,0.0,86477441.55555557,1.5799210255855467,0.9664545428743059
190000,2026-01-18T12:56:14.582783,10142,2061,8661,1376,2306,0.1600045817875236,0.00157893,0.13564294306137825,20.61,66.0,86.61,22.85,78.57,101.42,2.23,11.53,13.76,0.1600045817875236,1578.93,1.57893e-05,23.06,80.81,0.0,0.13564294306137825,2061,6600,8661,1376,157893,0,1,90,0,0,0,2,0,3,4,0,102.8,113,94,N/A,34,94.61764705882354,15.0,0.16167267547874128,61686,1814.2941176470588,25.705882352941178,88.47058823529412,0.0,0.0,N/A,33,76.18181818181819,13.909090909090908,0.18030235657867108,38597,1169.6060606060605,20.12121212121212,72.27272727272727,0.0,0.0,N/A,33,88.78787878787878,12.333333333333334,0.13798816501148517,57610,1745.7575757575758,23.272727272727273,81.45454545454545,0.0,0.0,101245540.66666667,1.5982071145425811,0.964738383464594
