tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav,cluster_0_send_probability,cluster_0_n_nodes,cluster_0_avg_packet_sent,cluster_0_avg_packet_loss,cluster_0_avg_packet_loss_pct,cluster_0_total_throughput,cluster_0_avg_throughput_per_node,cluster_0_avg_timeout_retry,cluster_0_avg_cw_enters,cluster_0_avg_cw_increase,cluster_0_cw_increase_ratio,cluster_1_send_probability,cluster_1_n_nodes,cluster_1_avg_packet_sent,cluster_1_avg_packet_loss,cluster_1_avg_packet_loss_pct,cluster_1_total_throughput,cluster_1_avg_throughput_per_node,cluster_1_avg_timeout_retry,cluster_1_avg_cw_enters,cluster_1_avg_cw_increase,cluster_1_cw_increase_ratio,cluster_2_send_probability,cluster_2_n_nodes,cluster_2_avg_packet_sent,cluster_2_avg_packet_loss,cluster_2_avg_packet_loss_pct,cluster_2_total_throughput,cluster_2_avg_throughput_per_node,cluster_2_avg_timeout_retry,cluster_2_avg_cw_enters,cluster_2_avg_cw_increase,cluster_2_cw_increase_ratio,cluster_throughput_variance,cluster_throughput_max_min_ratio,jain_fairness_index
8130000,2026-01-18T13:01:09.893567,435391,88276,371299,59181,99981,0.16271292333843843,0.06778608,0.13965496762703913,882.76,2830.23,3712.99,975.61,3378.3,4353.91,92.84,498.97,591.81,0.16271292333843843,67786.08,0.0006778608,999.81,3452.81,0.0,0.13965496762703913,88276,283023,371299,59181,6778608,0,0,97,0,0,0,1,0,1,1,0,95.98,130,89,N/A,34,4044.8529411764707,621.2647058823529,0.15750836560766077,2669241,78507.08823529411,1086.735294117647,3743.4117647058824,0.0,0.0,N/A,33,3187.878787878788,550.060606060606,0.17275768583595558,1610303,48797.06060606061,835.6060606060606,2960.3030303030305,0.0,0.0,N/A,33,3896.181818181818,603.2121212121212,0.15803043244232856,2499064,75729.21212121213,1074.4545454545455,3645.909090909091,0.0,0.0,215578446032.66666,1.657601706014334,0.95948597088007
8140000,2026-01-18T13:01:10.261198,435907,88381,371738,59248,100098,0.16269719395283855,0.06786887,0.1396443547471316,883.81,2833.57,3717.38,976.74,3382.33,4359.07,92.92,499.56,592.48,0.16269719395283855,67868.87,0.0006786887,1000.98,3456.85,0.0,0.1396443547471316,88381,283357,371738,59248,6786887,0,1,90,0,1,0,2,0,1,5,0,114.87,159,94,N/A,34,4049.823529411765,621.9117647058823,0.15747280309278983,2673055,78619.26470588235,1087.8823529411766,3747.6470588235293,0.0,0.0,N/A,33,3192.2727272727275,550.6363636363636,0.1726989193007638,1612407,48860.818181818184,836.3030303030303,2963.7272727272725,0.0,0.0,N/A,33,3899.969696969697,604.0,0.15807817433950896,2501425,75800.75757575757,1076.121212121212,3650.3636363636365,0.0,0.0,216087115680.88892,1.6578041400217192,0.9594892522351114
8150000,2026-01-18T13:01:10.630666,436426,88493,372182,59317,100202,0.16269543703479228,0.06795496,0.13964332021621303,884.93,2836.89,3721.82,977.94,3386.32,4364.26,93.01,500.16,593.17,0.16269543703479228,67954.96,0.0006795496,1002.02,3460.77,0.0,0.13964332021621303,88493,283689,372182,59317,6795496,0,0,96,0,1,0,1,0,2,0,0,41.45,109,50,N/A,34,4054.8529411764707,622.6176470588235,0.15745937069710617,2676432,78718.58823529411,1089.0,3751.9411764705883,0.0,0.0,N/A,33,3195.6969696969695,551.3333333333334,0.17273064477827574,1614241,48916.393939393936,837.2424242424242,2967.030303030303,0.0,0.0,N/A,33,3904.818181818182,604.6666666666666,0.1580549643058945,2504823,75903.72727272728,1077.1818181818182,3654.5151515151515,0.0,0.0,216759518676.2222,1.6580126511468858,0.9594670305779888
8160000,2026-01-18T13:01:10.997792,436943,88599,372626,59387,100317,0.16269712566486486,0.06803985,0.13964405987601305,885.99,2840.27,3726.26,979.08,3390.35,4369.43,93.08,500.79,593.87,0.16269712566486486,68039.85,0.0006803985,1003.17,3464.78,0.0,0.13964405987601305,88599,284027,372626,59387,6803985,0,2,89,0,1,0,2,0,2,4,0,105.99,132,95,N/A,34,4059.4117647058824,623.3235294117648,0.15746677901596082,2679845,78818.9705882353,1090.1764705882354,3756.0588235294117,0.0,0.0,N/A,33,3199.6363636363635,552.1818181818181,0.17278214146730253,1616327,48979.606060606064,838.2121212121212,2970.5454545454545,0.0,0.0,N/A,33,3909.6363636363635,605.2121212121212,0.1580009518643284,2507813,75994.33333333333,1078.4848484848485,3658.909090909091,0.0,0.0,217268092616.0,1.6579844301307842,0.9594729939321998
8170000,2026-01-18T13:01:11.366308,437477,88707,373084,59459,100436,0.16269851367248964,0.06812405,0.13964460888124244,887.07,2843.77,3730.84,980.29,3394.48,4374.77,93.21,501.38,594.59,0.16269851367248964,68124.05,0.0006812405,1004.36,3469.0,0.0,0.13964460888124244,88707,284377,373084,59459,6812405,0,2,92,0,1,0,2,0,2,1,0,65.83,108,78,N/A,34,4064.0,623.7058823529412,0.15738459703759536,2683254,78919.23529411765,1091.2941176470588,3760.0588235294117,0.0,0.0,N/A,33,3203.878787878788,553.3030303030303,0.17290010967655126,1617861,49026.09090909091,839.6060606060606,2975.181818181818,0.0,0.0,N/A,33,3914.5454545454545,605.8787878787879,0.1579718620801373,2511290,76099.69696969698,1079.5454545454545,3662.939393939394,0.0,0.0,218094359976.2222,1.658519489622409,0.9594215463091239
8180000,2026-01-18T13:01:11.733866,438016,88818,373546,59531,100552,0.162693848681895,0.06820962,0.13964158785305972,888.18,2847.28,3735.46,981.53,3398.63,4380.16,93.34,501.97,595.31,0.162693848681895,68209.62,0.0006820961999999999,1005.52,3473.13,0.0,0.13964158785305972,88818,284728,373546,59531,6820962,0,4,90,0,0,0,2,0,3,1,0,68.4,90,95,N/A,34,4069.323529411765,624.4411764705883,0.15735924448594474,2686993,79029.20588235294,1092.4705882352941,3764.470588235294,0.0,0.0,N/A,33,3207.4545454545455,553.8787878787879,0.1728914530611164,1619502,49075.818181818184,840.6060606060606,2978.6060606060605,0.0,0.0,N/A,33,3919.4848484848485,606.7272727272727,0.15799250317122832,2514467,76195.9696969697,1080.8484848484848,3667.4848484848485,0.0,0.0,218918289664.66666,1.6591476886104495,0.9593724585116713
8190000,2026-01-18T13:01:12.101010,438544,88925,373995,59607,100675,0.16270157595072984,0.06829507,0.1396484667415539,889.25,2850.7,3739.95,982.71,3402.73,4385.44,93.45,502.62,596.07,0.16270157595072984,68295.07,0.0006829507,1006.75,3477.35,0.0,0.1396484667415539,88925,285070,373995,59607,6829507,0,3,90,0,1,0,3,0,2,1,0,123.11,170,97,N/A,34,4073.1470588235293,625.0588235294117,0.15735837166166966,2689833,79112.73529411765,1093.7941176470588,3768.4411764705883,0.0,0.0,N/A,33,3211.909090909091,554.7272727272727,0.17291928573803445,1622130,49155.454545454544,841.5151515151515,2982.4242424242425,0.0,0.0,N/A,33,3924.6969696969695,607.5454545454545,0.15798898573397202,2517544,76289.21212121213,1082.3030303030303,3672.3636363636365,0.0,0.0,219048825236.22226,1.658210501007934,0.9594467553813698
8200000,2026-01-18T13:01:12.473112,439081,89031,374457,59680,100801,0.16270933607597388,0.06837791,0.13965323375839658,890.31,2854.26,3744.57,983.94,3406.87,4390.81,93.62,503.18,596.8,0.16270933607597388,68377.91,0.0006837791,1008.01,3481.71,0.0,0.13965323375839658,89031,285426,374457,59680,6837791,0,1,93,0,1,0,2,0,2,1,0,90.49,114,97,N/A,34,4078.4411764705883,625.8235294117648,0.15735807985151332,2693303,79214.79411764706,1095.1764705882354,3773.323529411765,0.0,0.0,N/A,33,3216.060606060606,555.5454545454545,0.1729553855574426,1624122,49215.818181818184,842.6363636363636,2986.3939393939395,0.0,0.0,N/A,33,3929.090909090909,608.1515151515151,0.1579767020984948,2520366,76374.72727272728,1083.5757575757575,3676.5757575757575,0.0,0.0,219589836029.55554,1.6583132301637438,0.9594451095266551
8210000,2026-01-18T13:01:12.840445,439614,89136,374908,59756,100934,0.16272356225886792,0.06846122,0.1396634007381988,891.36,2857.72,3749.08,985.13,3411.01,4396.14,93.76,503.8,597.56,0.16272356225886792,68461.22,0.0006846122,1009.34,3486.06,0.0,0.1396634007381988,89136,285772,374908,59756,6846122,0,3,91,0,0,0,1,0,3,2,0,125.15,166,97,N/A,34,4083.3823529411766,626.7941176470588,0.1574163269412208,2697190,79329.11764705883,1096.7058823529412,3778.205882352941,0.0,0.0,N/A,33,3219.6363636363635,556.3030303030303,0.1730037885887888,1625545,49258.93939393939,843.9090909090909,2990.181818181818,0.0,0.0,N/A,33,3934.090909090909,608.6969696969697,0.15791139655925016,2523387,76466.27272727272,1084.7575757575758,3680.939393939394,0.0,0.0,220527860644.2222,1.6592527429262185,0.9593739474244505
8220000,2026-01-18T13:01:13.208557,440159,89247,375373,59832,101058,0.1627266450186488,0.06854393,0.13966597064629432,892.47,2861.26,3753.73,986.33,3415.26,4401.59,93.86,504.46,598.32,0.1627266450186488,68543.93,0.0006854393,1010.58,3490.36,0.0,0.13966597064629432,89247,286126,375373,59832,6854393,0,3,88,0,1,0,3,0,2,3,0,133.46,176,96,N/A,34,4088.4117647058824,627.5588235294117,0.15742351034499713,2700386,79423.11764705883,1098.0588235294117,3782.9411764705883,0.0,0.0,N/A,33,3223.787878787879,557.0,0.17299925573973768,1627686,49323.818181818184,845.0,2993.909090909091,0.0,0.0,N/A,33,3938.848484848485,609.5151515151515,0.1579178700219283,2526321,76555.18181818182,1086.030303030303,3685.3636363636365,0.0,0.0,220947641938.8889,1.6590337448377634,0.9593939402972865
8230000,2026-01-18T13:01:13.576533,440682,89353,375822,59902,101180,0.16272630593801007,0.06862504,0.13966517329588732,893.53,2864.69,3758.22,987.49,3419.33,4406.82,93.95,505.07,599.02,0.16272630593801007,68625.04,0.0006862503999999999,1011.8,3494.58,0.0,0.13966517329588732,89353,286469,375822,59902,6862504,0,1,91,0,0,0,3,0,2,3,0,87.51,103,96,N/A,34,4093.764705882353,628.2647058823529,0.15739945450111942,2703670,79519.70588235294,1099.3529411764705,3787.6176470588234,0.0,0.0,N/A,33,3227.181818181818,557.7878787878788,0.1730586133716107,1629510,49379.09090909091,846.060606060606,2997.4545454545455,0.0,0.0,N/A,33,3943.5454545454545,610.1212121212121,0.15788226968181202,2529324,76646.18181818182,1087.3333333333333,3689.787878787879,0.0,0.0,221542385323.55554,1.6591920270510767,0.9593813587728586
8240000,2026-01-18T13:01:13.944809,441217,89462,376280,59976,101303,0.16272833704861067,0.06870885,0.13966621690315031,894.62,2868.18,3762.8,988.7,3423.47,4412.17,94.08,505.68,599.76,0.16272833704861067,68708.85,0.0006870885,1013.03,3498.79,0.0,0.13966621690315031,89462,286818,376280,59976,6870885,0,3,90,0,0,1,2,0,1,3,0,117.73,175,95,N/A,34,4098.911764705882,629.0882352941177,0.15740813677590212,2707054,79619.23529411765,1100.6764705882354,3792.205882352941,0.0,0.0,N/A,33,3230.818181818182,558.2424242424242,0.17300454630458725,1631171,49429.42424242424,847.060606060606,3000.878787878788,0.0,0.0,N/A,33,3948.4848484848485,611.060606060606,0.15793354625542472,2532660,76747.27272727272,1088.6969696969697,3694.3939393939395,0.0,0.0,222291101560.66666,1.6595770768362115,0.9593449929005037
8250000,2026-01-18T13:01:14.312684,441752,89574,376737,60046,101415,0.16272115265683587,0.06879327,0.1396606133410253,895.74,2871.63,3767.37,989.9,3427.62,4417.52,94.16,506.3,600.46,0.16272115265683587,68793.27,0.0006879327000000001,1014.15,3502.87,0.0,0.1396606133410253,89574,287163,376737,60046,6879327,0,2,89,0,2,0,3,0,1,3,0,72.31,178,97,N/A,34,4104.0,629.6764705882352,0.15735561660743408,2710587,79723.14705882352,1101.6470588235295,3796.4117647058824,0.0,0.0,N/A,33,3235.212121212121,558.8484848484849,0.1729595540356584,1633209,49491.181818181816,848.1212121212121,3004.6060606060605,0.0,0.0,N/A,33,3952.6969696969695,611.969696969697,0.1580108793289122,2535531,76834.27272727272,1090.030303030303,3698.6969696969695,0.0,0.0,222841438856.0,1.6596693993236629,0.9593443347788343
8260000,2026-01-18T13:01:14.682558,442302,89686,377204,60121,101544,0.16271451535792975,0.06887724,0.13965678158798117,896.86,2875.18,3772.04,991.14,3431.88,4423.02,94.28,506.93,601.21,0.16271451535792975,68877.24,0.0006887724000000001,1015.44,3507.29,0.0,0.13965678158798117,89686,287518,377204,60121,6887724,1,2,93,0,0,0,1,0,2,1,0,70.06,121,94,N/A,34,4108.64705882353,630.7647058823529,0.15744532624435476,2713778,79817.0,1103.3529411764705,3801.4411764705883,0.0,0.0,N/A,33,3239.3939393939395,559.3333333333334,0.17288833600904688,1635308,49554.78787878788,849.1212121212121,3008.3030303030305,0.0,0.0,N/A,33,3957.878787878788,612.6363636363636,0.15796955621776865,2538638,76928.42424242424,1091.1818181818182,3703.212121212121,0.0,0.0,223308516600.0,1.6594904446134917,0.9593578245820593
8270000,2026-01-18T13:01:15.049643,442820,89790,377645,60190,101665,0.16272172041604593,0.0689602,0.13966061207725175,897.9,2878.55,3776.45,992.29,3435.91,4428.2,94.39,507.51,601.9,0.16272172041604593,68960.2,0.000689602,1016.65,3511.4,0.0,0.13966061207725175,89790,287855,377645,60190,6896020,0,5,91,0,2,0,0,0,1,1,0,106.97,153,95,N/A,34,4113.558823529412,631.4411764705883,0.15743714162779818,2717633,79930.38235294117,1104.5588235294117,3805.676470588235,0.0,0.0,N/A,33,3242.848484848485,560.1212121212121,0.1729487925367675,1636612,49594.30303030303,850.3030303030303,3012.030303030303,0.0,0.0,N/A,33,3962.7272727272725,613.2424242424242,0.15793936583473123,2541775,77023.48484848485,1092.4242424242425,3707.5757575757575,0.0,0.0,224316943908.2222,1.66052369162636,0.9592759357313176
8280000,2026-01-18T13:01:15.417131,443359,89897,378107,60259,101791,0.16271345372854143,0.06903932,0.13965440770796453,898.97,2882.1,3781.07,993.45,3440.14,4433.59,94.48,508.11,602.59,0.16271345372854143,69039.32,0.0006903932,1017.91,3515.73,0.0,0.13965440770796453,89897,288210,378107,60259,6903932,0,2,87,1,2,0,2,0,2,4,0,135.6,181,96,N/A,34,4118.441176470588,632.0588235294117,0.15740666836234868,2720562,80016.5294117647,1105.764705882353,3810.0588235294117,0.0,0.0,N/A,33,3246.757575757576,561.030303030303,0.17301854651754783,1638556,49653.21212121212,851.5151515151515,3016.090909090909,0.0,0.0,N/A,33,3967.787878787879,613.7878787878788,0.15787595798349122,2544814,77115.57575757576,1093.7878787878788,3712.121212121212,0.0,0.0,224769767344.8889,1.660341178452247,0.9592867437913118
8290000,2026-01-18T13:01:15.783166,443866,90004,378542,60328,101902,0.16271424603464482,0.06912539,0.13965498085489078,900.04,2885.38,3785.42,994.6,3444.06,4438.66,94.56,508.72,603.28,0.16271424603464482,69125.39,0.0006912538999999999,1019.02,3519.71,0.0,0.13965498085489078,90004,288538,378542,60328,6912539,0,2,94,0,1,0,0,0,1,2,0,113.32,153,96,N/A,34,4123.705882352941,632.7058823529412,0.15736260369031813,2724507,80132.55882352941,1106.7941176470588,3814.264705882353,0.0,0.0,N/A,33,3250.212121212121,561.7575757575758,0.173058889712759,1640285,49705.606060606064,852.4848484848485,3019.6666666666665,0.0,0.0,N/A,33,3972.090909090909,614.4848484848485,0.15788341568098846,2547747,77204.45454545454,1095.121212121212,3716.2727272727275,0.0,0.0,225585413814.2222,1.6609961073837778,0.9592425710811884
8300000,2026-01-18T13:01:16.151159,444376,90107,378975,60395,102016,0.16270789304386266,0.06920702,0.1396497550503611,901.07,2888.68,3789.75,995.77,3447.99,4443.76,94.69,509.26,603.95,0.16270789304386266,69207.02,0.0006920702,1020.16,3523.7,0.0,0.1396497550503611,90107,288868,378975,60395,6920702,0,2,91,0,0,0,2,0,2,3,0,83.84,125,93,N/A,34,4128.5,633.5,0.15738018134731502,2727748,80227.88235294117,1108.235294117647,3818.9117647058824,0.0,0.0,N/A,33,3253.6666666666665,562.2727272727273,0.17303118588687802,1641751,49750.030303030304,853.3333333333334,3022.7272727272725,0.0,0.0,N/A,33,3976.818181818182,615.1818181818181,0.1578737577063812,2551203,77309.18181818182,1096.2424242424242,3720.5151515151515,0.0,0.0,226406729037.55557,1.6614870342701178,0.9591927409739717
8310000,2026-01-18T13:01:16.519789,444912,90216,379432,60466,102139,0.1626976364216036,0.06928814,0.13964262247512071,902.16,2892.16,3794.32,996.97,3452.15,4449.12,94.81,509.85,604.66,0.1626976364216036,69288.14,0.0006928813999999999,1021.39,3527.93,0.0,0.13964262247512071,90216,289216,379432,60466,6928814,1,2,91,0,1,0,0,0,2,3,0,59.17,122,52,N/A,34,4133.529411764706,634.1764705882352,0.15734289087928696,2730902,80320.64705882352,1109.4705882352941,3823.3823529411766,0.0,0.0,N/A,33,3257.848484848485,563.1212121212121,0.1730672020738474,1643652,49807.63636363636,854.6666666666666,3027.060606060606,0.0,0.0,N/A,33,3981.3030303030305,615.7878787878788,0.1578450813281102,2554260,77401.81818181818,1097.3636363636363,3724.3939393939395,0.0,0.0,226946876480.8889,1.6614843044634753,0.959191175265379
8320000,2026-01-18T13:01:16.886241,445433,90321,379875,60539,102257,0.16271217156717704,0.06937299,0.13965251513239635,903.21,2895.54,3798.75,998.16,3456.17,4454.33,94.94,510.45,605.39,0.16271217156717704,69372.99,0.0006937299,1022.57,3532.05,0.0,0.13965251513239635,90321,289554,379875,60539,6937299,0,2,90,0,0,0,3,0,3,2,0,65.27,101,97,N/A,34,4138.470588235294,634.9411764705883,0.15734970180184613,2734306,80420.76470588235,1110.7058823529412,3827.823529411765,0.0,0.0,N/A,33,3261.5151515151515,563.9090909090909,0.17312082369076406,1645206,49854.72727272727,855.8484848484849,3030.818181818182,0.0,0.0,N/A,33,3985.969696969697,616.4242424242424,0.1578284882927188,2557787,77508.69696969698,1098.4848484848485,3728.5454545454545,0.0,0.0,227789094324.66666,1.6619839703964123,0.9591419624878016
8330000,2026-01-18T13:01:17.255100,445976,90430,380334,60617,102394,0.16272699973589194,0.06945776,0.13966312498694675,904.3,2899.04,3803.34,999.32,3460.44,4459.76,95.02,511.15,606.17,0.16272699973589194,69457.76,0.0006945775999999999,1023.94,3536.53,0.0,0.13966312498694675,90430,289904,380334,60617,6945776,0,0,94,0,1,0,0,0,1,4,0,7.81,11,71,N/A,34,4143.323529411765,635.6764705882352,0.15735303110109233,2737709,80520.85294117648,1112.2058823529412,3832.5882352941176,0.0,0.0,N/A,33,3265.6969696969695,564.5757575757576,0.17310367611513883,1647218,49915.69696969697,856.7272727272727,3034.3636363636365,0.0,0.0,N/A,33,3990.6969696969695,617.3636363636364,0.15788713952583253,2560849,77601.48484848485,1100.2121212121212,3733.6666666666665,0.0,0.0,228352409426.8889,1.662019841939561,0.9591408841439639
8340000,2026-01-18T13:01:17.623700,446510,90534,380787,60692,102521,0.16273150196686254,0.06953912,0.13966714094517527,905.34,2902.53,3807.87,1000.5,3464.6,4465.1,95.16,511.76,606.92,0.16273150196686254,69539.12,0.0006953911999999999,1025.21,3540.88,0.0,0.13966714094517527,90534,290253,380787,60692,6953912,0,0,90,0,2,0,5,0,2,1,0,138.62,178,96,N/A,34,4148.382352941177,636.4117647058823,0.15733550581850483,2741271,80625.61764705883,1113.4117647058824,3837.0588235294117,0.0,0.0,N/A,33,3269.7272727272725,565.2727272727273,0.17310403946203412,1649188,49975.393939393936,857.8181818181819,3038.242424242424,0.0,0.0,N/A,33,3995.181818181818,618.1818181818181,0.1579184756548473,2563453,77680.39393939394,1101.7272727272727,3738.3636363636365,0.0,0.0,228905001137.55554,1.6621943647419215,0.9591379198745762
8350000,2026-01-18T13:01:17.991957,447036,90645,381236,60763,102641,0.16272594822505862,0.06962318,0.13966349431060268,906.45,2905.91,3812.36,1001.71,3468.65,4470.36,95.26,512.37,607.63,0.16272594822505862,69623.18,0.0006962317999999999,1026.41,3544.98,0.0,0.13966349431060268,90645,290591,381236,60763,6962318,0,1,95,0,1,0,1,0,1,1,0,38.83,125,95,N/A,34,4153.176470588235,637.2352941176471,0.15735722583085174,2744397,80717.55882352941,1114.8823529411766,3841.794117647059,0.0,0.0,N/A,33,3273.212121212121,565.6969696969697,0.17305406188673914,1650806,50024.42424242424,858.6666666666666,3041.3333333333335,0.0,0.0,N/A,33,4000.3636363636365,619.060606060606,0.1579292455149852,2567115,77791.36363636363,1103.0,3742.818181818182,0.0,0.0,229665818476.2222,1.662458823144573,0.9591025520647828
8360000,2026-01-18T13:01:18.361105,447568,90759,381692,60834,102746,0.16272459271027198,0.06970881,0.1396619948570309,907.59,2909.33,3816.92,1002.94,3472.74,4475.68,95.34,513.0,608.34,0.16272459271027198,69708.81,0.0006970880999999999,1027.46,3548.91,0.0,0.1396619948570309,90759,290933,381692,60834,6970881,0,1,92,0,1,0,3,0,2,1,0,136.55,163,97,N/A,34,4157.85294117647,637.9705882352941,0.1573683636533482,2747499,80808.79411764706,1115.9705882352941,3845.823529411765,0.0,0.0,N/A,33,3277.5757575757575,566.6060606060606,0.17309863567354825,1653175,50096.21212121212,859.7272727272727,3045.212121212121,0.0,0.0,N/A,33,4005.0,619.5454545454545,0.1578690887753414,2570207,77885.06060606061,1104.0,3746.6969696969695,0.0,0.0,229991684362.66666,1.6619529087967093,0.9591433435738084
8370000,2026-01-18T13:01:18.728518,448094,90868,382146,60903,102855,0.16271907977589412,0.06979457,0.13965732009069587,908.68,2912.78,3821.46,1004.18,3476.76,4480.94,95.49,513.54,609.03,0.16271907977589412,69794.57,0.0006979457,1028.55,3552.87,0.0,0.13965732009069587,90868,291278,382146,60903,6979457,0,2,92,0,0,0,2,0,3,1,0,122.63,159,98,N/A,34,4162.911764705882,638.6470588235294,0.15735587283597116,2750882,80908.29411764706,1117.1470588235295,3850.1176470588234,0.0,0.0,N/A,33,3281.4848484848485,567.3333333333334,0.173113078304084,1655297,50160.51515151515,860.7878787878788,3048.909090909091,0.0,0.0,N/A,33,4009.6363636363635,620.2121212121212,0.15785080961004908,2573278,77978.12121212122,1105.030303030303,3750.5757575757575,0.0,0.0,230504309933.55557,1.6618661182857215,0.959152457653924
8380000,2026-01-18T13:01:19.097885,448640,90975,382607,60981,102991,0.16272631261518877,0.0698775,0.139663337046984,909.75,2916.32,3826.07,1005.36,3481.04,4486.4,95.61,514.2,609.81,0.16272631261518877,69877.5,0.000698775,1029.91,3557.35,0.0,0.139663337046984,90975,291632,382607,60981,6987750,0,3,92,0,2,0,2,0,1,0,0,31.35,118,96,N/A,34,4167.558823529412,639.7058823529412,0.1574464732874663,2753835,80995.14705882352,1118.9117647058824,3855.294117647059,0.0,0.0,N/A,33,3286.242424242424,567.969696969697,0.17305445249747498,1657982,50241.878787878784,861.7575757575758,3052.787878787879,0.0,0.0,N/A,33,4014.060606060606,620.8484848484849,0.15783800719176816,2575933,78058.57575757576,1106.3636363636363,3754.939393939394,0.0,0.0,230575217512.66666,1.6609559090508823,0.9592333802958661
8390000,2026-01-18T13:01:19.465896,449192,91086,383076,61059,103121,0.16273184832674337,0.0699606,0.13966829953564638,910.86,2919.9,3830.76,1006.6,3485.32,4491.92,95.74,514.85,610.59,0.16273184832674337,69960.6,0.000699606,1031.21,3561.76,0.0,0.13966829953564638,91086,291990,383076,61059,6996060,0,1,92,0,2,0,3,0,0,2,0,138.61,176,95,N/A,34,4172.85294117647,640.4411764705883,0.15742037045080776,2757346,81098.41176470589,1120.3823529411766,3860.205882352941,0.0,0.0,N/A,33,3290.3333333333335,568.7575757575758,0.17308007718618085,1659743,50295.242424242424,862.6969696969697,3056.4242424242425,0.0,0.0,N/A,33,4018.7272727272725,621.6666666666666,0.15785605121826982,2578971,78150.63636363637,1107.8484848484848,3759.6060606060605,0.0,0.0,231281122468.66666,1.6613090098888803,0.9592067892583636
8400000,2026-01-18T13:01:19.833140,449705,91188,383519,61120,103237,0.1627081111394567,0.07004285,0.13965051109174012,911.88,2923.31,3835.19,1007.76,3489.29,4497.05,95.87,515.33,611.2,0.1627081111394567,70042.85,0.0007004285000000001,1032.37,3565.85,0.0,0.13965051109174012,91188,292331,383519,61120,7004285,0,3,92,0,1,0,1,0,2,1,0,128.04,167,89,N/A,34,4177.911764705882,641.0,0.1573612962303452,2760982,81205.35294117648,1121.4117647058824,3864.323529411765,0.0,0.0,N/A,33,3294.3939393939395,569.3030303030303,0.17303464732199558,1661499,50348.454545454544,863.8484848484849,3060.3030303030305,0.0,0.0,N/A,33,4022.878787878788,622.3939393939394,0.15789041456024488,2581804,78236.48484848485,1109.1515151515152,3763.878787878788,0.0,0.0,231992101777.55554,1.6617415959925343,0.9591786291462473
8410000,2026-01-18T13:01:20.202985,450268,91297,383992,61204,103384,0.16272888204560265,0.07012665,0.139666083311308,912.97,2926.95,3839.92,1008.95,3493.73,4502.68,95.98,516.06,612.04,0.16272888204560265,70126.65,0.0007012665,1033.84,3570.58,0.0,0.139666083311308,91297,292695,383992,61204,7012665,0,2,90,0,1,0,2,0,2,3,0,140.85,176,94,N/A,34,4182.823529411765,641.8235294117648,0.157377781812866,2764117,81297.55882352941,1122.8235294117646,3869.176470588235,0.0,0.0,N/A,33,3298.757575757576,570.030303030303,0.17302665276281237,1663749,50416.63636363636,865.060606060606,3064.2727272727275,0.0,0.0,N/A,33,4027.787878787879,623.3636363636364,0.1579443661136367,2584799,78327.24242424243,1110.939393939394,3769.242424242424,0.0,0.0,232366420338.66666,1.6613786093936045,0.9592091275629921
8420000,2026-01-18T13:01:20.573214,450788,91407,384440,61273,103493,0.16272194259084055,0.07021026,0.13966060946147224,914.07,2930.33,3844.4,1010.17,3497.71,4507.88,96.1,516.63,612.73,0.16272194259084055,70210.26,0.0007021026,1034.93,3574.55,0.0,0.13966060946147224,91407,293033,384440,61273,7021026,0,2,93,0,0,0,2,0,0,3,0,5.42,72,95,N/A,34,4187.264705882353,642.3529411764706,0.15733431568934142,2767241,81389.44117647059,1124.0,3873.1470588235293,0.0,0.0,N/A,33,3302.878787878788,570.7878787878788,0.17304010059028363,1666086,50487.454545454544,865.969696969697,3067.909090909091,0.0,0.0,N/A,33,4032.6666666666665,624.1515151515151,0.15795467291415416,2587699,78415.12121212122,1112.121212121212,3773.5454545454545,0.0,0.0,232683131728.66666,1.660923265665758,0.9592490601342128
