============================================================
SIMULATION RESULTS SUMMARY
Generated: 20260106_115701
============================================================

Type       Nodes    Prob     Eps    PDR      PLR      Throughput  
rl         250      0.020    0.20   0.0311   0.3796   0.005060    
rl         250      0.020    0.30   0.0340   0.3674   0.005520    
rl         250      0.020    0.50   0.0306   0.3673   0.005140    
rl         250      0.050    0.00   0.1526   0.1810   0.002800    
rl         250      0.050    0.05   0.0335   0.3757   0.005400    
rl         250      0.050    0.10   0.0314   0.3693   0.005240    
rl         250      0.050    0.20   0.0322   0.3681   0.005360    
rl         250      0.050    0.30   0.0328   0.3765   0.005460    
rl         250      0.050    0.50   0.0286   0.3760   0.004740    
rl         500      0.001    0.00   0.1775   0.1456   0.003900    
rl         500      0.001    0.05   0.0095   0.4362   0.002060    
rl         500      0.001    0.10   0.0084   0.4348   0.001900    
rl         500      0.001    0.20   0.0113   0.4401   0.002440    
rl         500      0.001    0.30   0.0121   0.4454   0.002620    
rl         500      0.001    0.50   0.0128   0.4478   0.002800    
rl         500      0.005    0.00   0.2168   0.0676   0.005700    
rl         500      0.005    0.05   0.0108   0.4364   0.002340    
rl         500      0.005    0.10   0.0095   0.4361   0.002100    
rl         500      0.005    0.20   0.0087   0.4392   0.001940    
rl         500      0.005    0.30   0.0127   0.4422   0.002700    
rl         500      0.005    0.50   0.0104   0.4433   0.002280    
rl         500      0.010    0.00   0.1394   0.2183   0.002200    
rl         500      0.010    0.05   0.0110   0.4358   0.002440    
rl         500      0.010    0.10   0.0125   0.4459   0.002700    
rl         500      0.010    0.20   0.0091   0.4301   0.001980    
rl         500      0.010    0.30   0.0116   0.4429   0.002500    
rl         500      0.010    0.50   0.0118   0.4402   0.002580    
rl         500      0.020    0.00   0.1691   0.1950   0.003200    
rl         500      0.020    0.05   0.0110   0.4372   0.002360    
rl         500      0.020    0.10   0.0112   0.4393   0.002420    
rl         500      0.020    0.20   0.0087   0.4334   0.001900    
rl         500      0.020    0.30   0.0120   0.4294   0.002620    
rl         500      0.020    0.50   0.0117   0.4401   0.002520    
rl         500      0.050    0.00   0.1534   0.2264   0.002980    
rl         500      0.050    0.05   0.0104   0.4423   0.002220    
rl         500      0.050    0.10   0.0095   0.4294   0.002140    
rl         500      0.050    0.20   0.0106   0.4391   0.002300    
rl         500      0.050    0.30   0.0109   0.4430   0.002360    
rl         500      0.050    0.50   0.0114   0.4354   0.002440    
rl         1000     0.001    0.00   0.1722   0.1907   0.003080    
rl         1000     0.001    0.05   0.0037   0.5418   0.000940    
rl         1000     0.001    0.10   0.0017   0.5314   0.000440    
rl         1000     0.001    0.20   0.0021   0.5411   0.000540    
rl         1000     0.001    0.30   0.0026   0.5350   0.000660    
rl         1000     0.001    0.50   0.0026   0.5331   0.000660    
rl         1000     0.005    0.00   0.1775   0.1917   0.003360    
rl         1000     0.005    0.05   0.0028   0.5395   0.000720    
rl         1000     0.005    0.10   0.0012   0.5261   0.000320    
rl         1000     0.005    0.20   0.0022   0.5373   0.000580    
rl         1000     0.005    0.30   0.0024   0.5311   0.000620    
rl         1000     0.005    0.50   0.0032   0.5358   0.000800    
rl         1000     0.010    0.00   0.1854   0.1432   0.003760    
rl         1000     0.010    0.05   0.0023   0.5369   0.000600    
rl         1000     0.010    0.10   0.0032   0.5361   0.000800    
rl         1000     0.010    0.20   0.0020   0.5238   0.000520    
rl         1000     0.010    0.30   0.0035   0.5343   0.000880    
rl         1000     0.010    0.50   0.0026   0.5285   0.000660    
rl         1000     0.020    0.00   0.2067   0.0760   0.005760    
rl         1000     0.020    0.05   0.0022   0.5382   0.000560    
rl         1000     0.020    0.10   0.0028   0.5393   0.000720    
rl         1000     0.020    0.20   0.0025   0.5335   0.000640    
rl         1000     0.020    0.30   0.0032   0.5308   0.000820    
rl         1000     0.020    0.50   0.0024   0.5369   0.000620    
rl         1000     0.050    0.00   0.1686   0.1625   0.004100    
rl         1000     0.050    0.05   0.0026   0.5307   0.000660    
rl         1000     0.050    0.10   0.0031   0.5403   0.000780    
rl         1000     0.050    0.20   0.0012   0.5295   0.000300    
rl         1000     0.050    0.30   0.0027   0.5289   0.000700    
rl         1000     0.050    0.50   0.0026   0.5267   0.000660    
