tick,timestamp,channel_total_generated_packets,channel_total_data_packet_sent,channel_total_sent_packets,channel_total_loss_packets,channel_total_timeout_nodes,channel_avg_packet_loss_percentage,channel_total_throughput,channel_avg_recent_packet_loss,nodes_avg_data_packet_sent,nodes_avg_control_packet_sent,nodes_avg_total_packet_sent,nodes_avg_data_packet_generated,nodes_avg_control_packet_generated,nodes_avg_total_packet_generated,nodes_avg_data_packet_loss,nodes_avg_control_packet_loss,nodes_avg_total_packet_loss,nodes_avg_packet_loss_percentage,nodes_avg_success_sent_bits,nodes_avg_throughput_per_node,nodes_avg_timeout_retry,nodes_avg_cw_enters,nodes_avg_cw_increase,nodes_avg_recent_packet_loss_pct,nodes_total_data_packet_sent,nodes_total_control_packet_sent,nodes_total_packet_sent,nodes_total_packet_loss,nodes_total_success_bits,nodes_avg_epsilon,nodes_min_epsilon,nodes_max_epsilon,nodes_nodes_in_IDLE,nodes_nodes_in_WAITING_UNTIL_CHANNEL_IS_CLEAR,nodes_nodes_in_SENDING_RTS,nodes_nodes_in_SENDING_CTS,nodes_nodes_in_WAITING_CTS,nodes_nodes_in_SENDING_DATA,nodes_nodes_in_WAITING_DATA,nodes_nodes_in_SENDING_ACK,nodes_nodes_in_WAITING_ACK,nodes_nodes_in_TIMEOUT,nodes_nodes_in_END_BACKOFF_TIMEOUT,nodes_avg_nav_seconds,nodes_max_nav_seconds,nodes_nodes_with_active_nav
110000,2026-01-16T11:41:06.758493,10058,1110,7098,2960,5880,0.5260840653425051,0.00099103,0.32035609887941346,11.1,59.88,70.98,16.09,84.49,100.58,4.99,24.61,29.6,0.5260840653425051,991.03,9.910299999999999e-06,58.8,0.0,0.0,0.32035609887941346,1110,5988,7098,2960,99103,0.03,0.03,0.03,0,19,71,0,0,0,7,1,2,0,0,25.38,124,43
120000,2026-01-16T11:41:07.398945,10945,1217,7736,3208,6356,0.5170549834877217,0.0010818,0.31819610124776004,12.17,65.19,77.36,17.65,91.8,109.45,5.47,26.61,32.08,0.5170549834877217,1081.8,1.0817999999999999e-05,63.56,0.0,0.0,0.31819610124776004,1217,6519,7736,3208,108180,0.03,0.03,0.03,0,10,78,0,2,0,6,0,4,0,0,75.61,111,85
130000,2026-01-16T11:41:08.010167,11783,1318,8327,3455,6813,0.5119509669485647,0.00117455,0.31741365933403926,13.18,70.09,83.27,19.17,98.66,117.83,5.98,28.57,34.55,0.5119509669485647,1174.55,1.1745500000000001e-05,68.13,0.0,0.0,0.31741365933403926,1318,7009,8327,3455,117455,0.03,0.03,0.03,0,10,77,0,5,0,6,0,2,0,0,68.38,103,85
140000,2026-01-16T11:41:08.612458,12629,1419,8929,3699,7280,0.5069728672779503,0.00126524,0.31604856783188917,14.19,75.1,89.29,20.69,105.6,126.29,6.5,30.49,36.99,0.5069728672779503,1265.24,1.26524e-05,72.8,0.0,0.0,0.31604856783188917,1419,7510,8929,3699,126524,0.03,0.03,0.03,0,11,80,0,1,0,5,0,3,0,0,25.55,120,36
150000,2026-01-16T11:41:09.252823,13452,1514,9514,3937,7741,0.5048211798861946,0.00135662,0.31631146045869507,15.14,80.0,95.14,22.11,112.41,134.52,6.96,32.41,39.37,0.5048211798861946,1356.62,1.35662e-05,77.41,0.0,0.0,0.31631146045869507,1514,8000,9514,3937,135662,0.03,0.03,0.03,0,17,73,0,3,0,5,0,2,0,0,43.22,79,69
160000,2026-01-16T11:41:09.897917,14314,1609,10134,4179,8218,0.4987333717984045,0.00144828,0.31518260099933454,16.09,85.25,101.34,23.68,119.46,143.14,7.58,34.21,41.79,0.4987333717984045,1448.28,1.44828e-05,82.18,0.0,0.0,0.31518260099933454,1609,8525,10134,4179,144828,0.03,0.03,0.03,0,12,77,0,2,0,6,0,3,0,0,103.03,148,88
170000,2026-01-16T11:41:10.518213,15185,1710,10753,4431,8703,0.49947124167870255,0.00153934,0.3155625344417014,17.1,90.43,107.53,25.19,126.66,151.85,8.08,36.23,44.31,0.49947124167870255,1539.34,1.53934e-05,87.03,0.0,0.0,0.3155625344417014,1710,9043,10753,4431,153934,0.03,0.03,0.03,0,18,73,0,1,0,4,0,4,0,0,65.99,116,78
180000,2026-01-16T11:41:11.110537,16035,1821,11361,4673,9136,0.49892645330155866,0.00163291,0.315444866390517,18.21,95.4,113.61,26.77,133.58,160.35,8.55,38.18,46.73,0.49892645330155866,1632.91,1.63291e-05,91.36,0.0,0.0,0.315444866390517,1821,9540,11361,4673,163291,0.03,0.03,0.03,0,15,73,0,3,0,5,0,4,0,0,101.77,162,84
190000,2026-01-16T11:41:11.690899,16879,1924,11968,4910,9591,0.49580096940007623,0.00172487,0.31469900334759415,19.24,100.44,119.68,28.26,140.53,168.79,9.02,40.08,49.1,0.49580096940007623,1724.87,1.72487e-05,95.91,0.0,0.0,0.31469900334759415,1924,10044,11968,4910,172487,0.03,0.03,0.03,0,7,84,0,1,0,5,0,3,0,0,52.41,122,74
200000,2026-01-16T11:41:12.284974,17736,2034,12585,5150,10037,0.49291435094601693,0.00181622,0.3139651321717756,20.34,105.51,125.85,29.81,147.55,177.36,9.46,42.04,51.5,0.49291435094601693,1816.22,1.81622e-05,100.37,0.0,0.0,0.3139651321717756,2034,10551,12585,5150,181622,0.03,0.03,0.03,0,17,71,0,4,0,5,0,3,0,0,84.48,120,84
